Bornes;Fmax C;Fmin C;Fmax E;Fmin E;Fmax P;Fmin P;Fmax TPA;Cohésion TPA;Force d'adhésion TPA;JSM (Pa-1);%R;n1 (s);%Jinf;%JKV;%JSM;Moyenne visco 2 et 3;Visco 4.2;Visco 1 - Visco 2;%R (60 s);CoF à 1 s;CoF à 30 s;Moyenne pts;Pente;CoF 1;CoF 10;?(0,01) (Pa.s);?(600) (Pa.s);k;n;G' (Pa);G'' (Pa);tan (?);? DLVE (%);Fluide;Filant;Glissant;Effet coussin;Etalement;Effet cassant;Doux;Collant;Gras;Pénétrant;Pelucheux
Fluide;2,25;-2,238;0,225;-0,14;0,023;-0,01;0,025;0,756;-0,006;3,833;15,27%;7,62;84,73%;9,18%;6,09%;0,204;22,59;42,825;1,019;8,071;6,232;6,793;-0,034;0,069;0,089;53,94;0,1;1,13;0,61;12,47;5,82;0,47;6,73%;9,92;0;8,75;0,17;9,17;2,25;2,25;0,75;5,5;4,25;8,33%
Fluide 9;4,127;-3,867;0,689;-0,524;0,05;-0,02;0,047;0,891;-0,017;3,367;44,74%;3,208;55,26%;28,42%;16,32%;0,437;237,997;664,9;0,763;8,893;7,49;7,868;-0,032;0,055;0,064;665,49;0,15;2,88;0,51;124,25;31,26;0,25;5,50%;9,08;2,58;9,42;2,42;9,33;2,5;2,58;2,08;6,92;5;8,33%
Fluide 5;21,392;-21,289;5,835;-5,027;0,272;-0,164;0,241;0,879;-0,131;2,61;64,04%;1,383;35,96%;21,35%;42,69%;2,126;1423,01;5088,78;0,3;15,918;21,646;20,137;0,183;0,236;0,325;3314,97;0,51;0,98;0,89;1417,47;153,3;0,11;6,09%;4,67;1;7,08;7,67;6,83;1,67;4,17;0,5;4,75;8,25;91,67%
Non fluide;71,167;-63,167;35,45;-30,522;1,67;-1,034;1,561;0,849;-0,914;0,317;47,34%;22,344;52,66%;41,79%;5,55%;6,482;2581;6202,647;0,623;14,484;8,825;10,696;-0,146;0,085;0,081;4050,5;1,44;4,26;0,81;23755;7961,67;0,35;1,20%;0,25;0,5;4,33;7;4,08;0,58;1;7,42;7,33;4,08;0,00%
Filant;3,132;-3,381;0,923;-0,568;0,053;-0,016;0,053;0,898;-0,015;18,333;35,85%;3,101;64,15%;27,00%;8,85%;0,356;218,713;705,557;0,5;6,023;5,182;5,459;-0,03;0,045;0,046;528,2;0,13;0,57;0,73;29,76;10,71;0,36;30,63%;9;9,17;9,25;6,92;8,42;3,58;0,75;8,75;7,83;3,5;66,67%
Filant 5;3,722;-3,929;0,855;-0,641;0,061;-0,021;0,061;0,844;-0,019;5,8;56,18%;3,051;43,82%;40,76%;15,42%;0,483;332,667;1061,383;0,625;7,077;6,227;6,559;-0,027;0,062;0,056;831,38;0,1;0,47;0,71;65,15;15,77;0,24;20,57%;7,67;6,5;8,92;6,42;9,25;7,58;1,25;4,92;7,75;3,17;8,33%
Non Filant;21,392;-21,289;5,835;-5,027;0,272;-0,164;0,241;0,879;-0,131;2,61;64,04%;1,383;35,96%;21,35%;42,69%;2,126;1423,01;5088,78;0,3;15,918;21,646;20,137;0,183;0,236;0,325;3314,97;0,51;0,98;0,89;1417,47;153,3;0,11;6,09%;4,67;1;7,08;7,67;6,83;1,67;4,17;0,5;4,75;8,25;91,67%
Glissant;17,229;-20,077;4,747;-4,29;0,243;-0,124;0,215;0,856;-0,109;4,407;75,49%;1,383;24,51%;29,39%;46,11%;3,403;4868,633;8805,582;1,021;9,459;7,21;7,837;-0,06;0,055;0,047;7635,1;0,99;31,18;0,43;569,19;38,72;0,07;11,63%;6,58;0,5;8,83;8,08;8,83;2,75;1,75;0,33;5,83;6,67;75,00%
Glissant 5;38,898;-45,794;25,086;-23,018;1,458;-0,917;1,281;0,819;-0,774;0,343;48,27%;21,763;51,73%;43,25%;5,01%;2933,221;3992,633;6332,925;0,526;12,22;8,169;9,158;-0,109;0,096;0,087;3118,13;1,18;7,69;0,7;10771,67;4337,47;0,4;1,24%;1,08;0,92;5,83;6,25;4,42;0,58;2,33;5,83;7,33;4,75;0,00%
Non glissant;146,333;-98,8;35,72;-33,44;1,959;-1,445;1,72;0,877;-1,212;0,16;49,40%;32,929;50,60%;37,99%;11,41%;22,576;1297,9;24093,506;0,342;12,907;4,884;6,733;-0,191;0,092;0,049;24958;5,55;1061,32;0,25;15975;4191,3;0,26;0,82%;0,25;8,33;0,75;6,58;0,58;0,08;0,25;9,42;8,5;0,83;0,00%
Coussin;25,933;-28,215;13,233;-12,9;0,31;-0,19;0,347;0,921;-0,152;10;1,64%;4,164;98,36%;1,19%;0,45%;16,976;397,047;829,458;0,766;13,068;6,5;7,862;-0,164;0,056;0,059;385,99;2,42;50,7;0,55;73,91;89,88;1,22;81,40%;2,08;8,75;4,25;8,92;3,83;1,83;0,92;9,42;5,25;4,92;91,67%
Coussin 7;5,734;-6,92;0,597;-0,454;0,03;-0,015;0,027;0,766;-0,01;23;16,10%;1,593;99,46%;0,25%;0,29%;0,795;4,928;5,282;0,945;8,282;7,19;7,461;-0,022;0,057;0,062;6,31;0,23;22,22;0,31;8,5;14,83;1,74;33,30%;8,33;4,58;9,5;7,17;9,58;3,92;3,25;4,92;5,17;7,92;33,33%
Non coussin;2,25;-2,238;0,225;-0,14;0,023;-0,01;0,025;0,756;-0,006;3,833;15,27%;7,62;84,73%;9,18%;6,09%;0,204;22,59;42,825;1,019;8,071;6,232;6,793;-0,034;0,069;0,089;53,94;0,1;1,13;0,61;12,47;5,82;0,47;6,73%;9,92;0;8,75;0,17;9,17;2,25;2,25;0,75;5,5;4,25;8,33%
Cassant;7,043;-7,185;1,606;-1,394;0,105;-0,045;0,082;0,946;-0,034;4,097;69,54%;2,212;30,46%;15,46%;54,08%;1,131;1577,7;1729,999;1,072;7,771;6,907;7,01;-0,02;0,051;0,064;2624,37;0,35;9,45;0,45;193,51;15,46;0,08;9,04%;8,25;0,67;8,42;7,75;9,42;8,92;2,58;0,75;5,08;7;16,67%
Cassant 5;17,229;-20,077;4,747;-4,29;0,243;-0,124;0,215;0,856;-0,109;4,407;75,49%;1,383;24,51%;29,39%;46,11%;3,403;4868,633;8805,582;1,021;9,459;7,21;7,837;-0,06;0,055;0,047;7635,1;0,99;31,18;0,43;569,19;38,72;0,07;11,63%;6,58;0,5;8,83;8,08;8,83;2,75;1,75;0,33;5,83;6,67;75,00%
Non cassant;21,717;-31,772;3,814;-3,62;0,187;-0,11;0,148;0,973;-0,083;3,7;62,52%;2,129;37,48%;15,60%;46,92%;3,844;660,067;3508,499;0,605;9,693;7,288;8,292;-0,072;0,065;0,051;3606,17;0,55;0;0;679,39;59,42;0,09;7,44%;6,25;3,33;5;8;5,17;0,58;1,17;4,75;9,08;0,75;0,00%
Etalement;17,229;-20,077;4,747;-4,29;0,243;-0,124;0,215;0,856;-0,109;4,407;75,49%;1,383;24,51%;29,39%;46,11%;3,403;4868,633;8805,582;1,021;9,459;7,21;7,837;-0,06;0,055;0,047;7635,1;0,99;31,18;0,43;569,19;38,72;0,07;11,63%;6,58;0,5;8,83;8,08;8,83;2,75;1,75;0,33;5,83;6,67;75,00%
Etalement 5;38,898;-45,794;25,086;-23,018;1,458;-0,917;1,281;0,819;-0,774;0,343;48,27%;21,763;51,73%;43,25%;5,01%;2933,221;3992,633;6332,925;0,526;12,22;8,169;9,158;-0,109;0,096;0,087;3118,13;1,18;7,69;0,7;10771,67;4337,47;0,4;1,24%;1,08;0,92;5,83;6,25;4,42;0,58;2,33;5,83;7,33;4,75;0,00%
Non étalement;123,667;-91,933;43,87;-37,735;2,322;-1,445;1,719;0,812;-1,09;1,22;69,83%;19,012;30,17%;30,90%;38,93%;22,42;781,607;26078,404;0,291;44,933;8,396;17,359;-0,994;0,14;0,071;44456;3,5;72,9;0,52;12596,67;1534,9;0,12;4,81%;0,75;2,5;2;4,75;1,17;0,33;0,5;9,5;5,75;2,25;66,67%
Doux;41,629;-25,466;28,558;-23,93;2,223;-1,14;1,992;0,71;-1,007;0,224;78,30%;4,192;21,70%;26,72%;51,58%;0;0;0;0;18,582;6,955;8,453;-0,252;0,111;0,085;24637,67;1,63;13,82;0,62;13489;1086,87;0,08;7,40%;0,25;0;7,5;3;7,25;0,42;9,42;0;6;5,75;0,00%
Non doux;146,333;-98,8;35,72;-33,44;1,959;-1,445;1,72;0,877;-1,212;0,16;49,40%;32,929;50,60%;37,99%;11,41%;22,576;1297,9;24093,506;0,342;12,907;4,884;6,733;-0,191;0,092;0,049;24958;5,55;1061,32;0,25;15975;4191,3;0,26;0,82%;0,25;8,33;0,75;6,58;0,58;0,08;0,25;9,42;8,5;0,83;0,00%
Collant;123,667;-91,933;43,87;-37,735;2,322;-1,445;1,719;0,812;-1,09;1,22;69,83%;19,012;30,17%;30,90%;38,93%;22,42;781,607;26078,404;0,291;44,933;8,396;17,359;-0,994;0,14;0,071;44456;3,5;72,9;0,52;12596,67;1534,9;0,12;4,81%;0,75;2,5;2;4,75;1,17;0,33;0,5;9,5;5,75;2,25;66,67%
Collant 5;26,223;-40,517;3,795;-3,544;0,128;-0,065;0,103;0,975;-0,051;2,84;57,35%;11,012;42,65%;25,13%;32,23%;5,647;582,41;1967,585;0,98;8,844;7,609;7,928;-0,042;0,06;0,064;1727,9;1,36;2,49;0,9;432,26;88,27;0,2;6,91%;6,25;5,58;4,75;8,17;3,33;0,33;0,83;5,17;7,67;2;33,33%
Non collant;10,392;-10,801;1,958;-1,524;0,123;-0,045;0,117;0,783;-0,044;1,897;58,90%;4,426;41,10%;25,53%;33,37%;1,407;396,727;1960,618;0,982;11,133;11,532;11,273;0,018;0,086;0,099;2507,27;0,46;5,94;0,58;760,68;136,25;0,18;3,01%;7;0,5;7,33;5,33;7,08;0,67;8;0,33;2,17;8,83;33,33%
Gras;21,717;-31,772;3,814;-3,62;0,187;-0,11;0,148;0,973;-0,083;3,7;62,52%;2,129;37,48%;15,60%;46,92%;3,844;660,067;3508,499;0,605;9,693;7,288;8,292;-0,072;0,065;0,051;3606,17;0,55;0;0;679,39;59,42;0,09;7,44%;6,25;3,33;5;8;5,17;0,58;1,17;4,75;9,08;0,75;0,00%
Gras 5;15,068;-18,06;3,531;-3,328;0,177;-0,107;0,166;0,969;-0,096;4,5;51,62%;2,126;48,38%;22,72%;28,90%;2,613;1726,133;4006,728;0,898;14,233;12,803;12,816;-0,018;0,128;0,118;3391,2;0,76;20,86;0,45;643,51;105,95;0,16;9,01%;7,5;1;8,08;7,17;8,25;1,75;2,25;1,75;5,33;5,83;41,67%
Pénétrant;10,358;-11,094;2,213;-1,999;0,121;-0,064;0,119;0,987;-0,066;3,803;53,06%;2,085;46,94%;23,08%;29,98%;1,699;1135,133;2553,4;0,962;15,354;12,643;12,802;-0,036;0,151;0,161;2372,37;0,51;13,58;0,46;497,17;80,22;0,16;7,72%;8;0,67;9,58;4,17;9,25;4,83;2,92;2;5;8,25;25,00%
Non pénétrant;24,056;-34,276;10,97;-10,574;0,521;-0,394;0,352;0,901;-0,315;0,09;38,71%;12,825;61,29%;36,58%;2,13%;3,127;412,78;2012,171;0,64;9,762;7,825;7,867;-0,048;0,086;0,087;6971,5;1,33;17,97;0,57;16047;10671;0,66;0,59%;3,33;1,92;7,75;7,17;7,33;1,75;1,08;2,58;9,33;0,5;0,00%
Pelucheux;3,132;-3,381;0,923;-0,568;0,053;-0,016;0,053;0,898;-0,015;18,333;35,85%;3,101;64,15%;27,00%;8,85%;0,356;218,713;705,557;0,5;6,023;5,182;5,459;-0,03;0,045;0,046;528,2;0,13;0,57;0,73;29,76;10,71;0,36;30,63%;9;9,17;9,25;6,92;8,42;3,58;0,75;8,75;7,83;3,5;66,67%
Non pelucheux;10,358;-11,094;2,213;-1,999;0,121;-0,064;0,119;0,987;-0,066;3,803;53,06%;2,085;46,94%;23,08%;29,98%;1,699;1135,133;2553,4;0,962;15,354;12,643;12,802;-0,036;0,151;0,161;2372,37;0,51;13,58;0,46;497,17;80,22;0,16;7,72%;8;0,67;9,58;4,17;9,25;4,83;2,92;2;5;8,25;25,00%
